Nikkei225	2011-06-02	2011-06-03	2011-06-06	2011-06-07	2011-06-08	2011-06-09	2011-06-10	2011-06-13	2011-06-14	2011-06-15	2011-06-16	2011-06-17	2011-06-20	2011-06-21	2011-06-22	2011-06-23	2011-06-24	2011-06-27	2011-06-28	2011-06-29	2011-06-30
国際帝石	-2.87	-3.83	0.36	2.88	0.88	0.17	1.91	-1.70	1.04	0.51	-3.75	-0.18	-1.60	2.34	1.76	-1.38	1.93	-1.03	0.35	2.08	0.51
ダイキン工	0.44	-0.51	-0.15	0.07	0.58	3.45	-0.77	2.09	1.35	-1.33	-3.47	-0.90	0.65	1.98	2.61	0.58	0.65	-2.34	0.00	0.14	-1.39
コナミ	-0.06	-2.11	-0.47	0.64	0.99	0.92	4.57	2.57	-0.32	-0.27	-1.34	0.38	-0.43	1.85	2.72	-1.19	-0.11	-1.58	1.23	0.74	-0.68
東急	-2.38	-3.96	-0.63	0.64	0.32	0.32	0.95	0.00	1.88	0.31	-1.53	0.00	0.62	1.54	1.52	0.00	0.60	-1.49	0.30	1.20	-0.60
ＴＤＫ	-2.44	0.95	0.12	2.12	2.31	-2.03	-0.35	-0.92	3.26	0.90	-2.57	0.11	-0.46	3.34	-0.22	-1.12	1.69	-2.22	-0.34	1.14	-0.56
ＮＥＣ	-2.35	-0.60	-3.03	2.50	1.22	-2.41	0.00	1.23	0.61	2.42	-1.18	-1.80	0.61	0.00	3.64	-1.17	4.14	-1.70	0.58	4.02	1.10
リコー	-2.82	-0.23	-1.16	1.41	0.46	-0.35	0.12	-0.35	2.20	-0.57	-1.71	-0.81	-0.35	-0.24	1.77	-0.46	0.70	-1.04	1.17	0.81	1.72
三井住友	-1.27	-1.03	-1.86	0.26	0.79	-0.92	0.66	0.31	2.22	-0.43	-0.64	-0.65	0.26	0.61	2.15	-0.42	1.44	0.21	0.17	1.20	1.27
ミネベア	-2.86	-0.98	-1.74	0.00	-0.76	-0.76	-0.26	-0.26	2.58	2.01	-0.25	-1.23	-1.00	1.01	4.25	-0.72	1.21	0.24	2.14	-0.23	-0.23
いすゞ自	-1.62	-0.27	-2.20	3.09	-1.36	-1.93	-0.56	-1.13	0.00	1.43	-2.54	-2.03	-1.18	1.50	3.83	3.41	1.37	0.81	1.61	1.32	-1.04
コマツ	-2.44	-0.54	-2.09	0.94	-2.07	-0.52	-1.13	0.57	1.31	2.29	-0.84	-0.64	-0.64	3.45	2.50	-0.93	1.80	-1.25	1.26	0.40	0.16
住友不	-3.16	-1.07	-0.54	-0.30	-0.36	-0.36	-0.36	-1.22	2.35	1.39	-2.44	-0.37	-1.29	0.56	2.16	1.33	1.91	0.53	1.80	2.74	-0.45
大瓦斯	0.35	-0.70	-2.11	2.16	2.11	0.34	1.72	0.00	2.36	-0.99	-0.33	0.67	-1.33	3.03	0.33	-1.30	0.00	-0.33	0.00	0.33	0.66
帝人	-2.98	-2.79	-0.86	0.58	2.02	1.13	0.56	-2.22	0.85	1.41	-1.67	-1.69	2.30	1.12	3.33	-2.69	0.55	-3.30	0.00	0.00	0.28
電化	-0.49	0.00	-1.47	-1.75	-0.76	0.26	0.00	-0.51	1.28	1.77	-1.74	-0.76	-2.81	1.57	1.81	-1.27	0.26	-1.28	-0.78	-0.52	1.58
シャープ	-1.34	0.14	-1.22	1.23	-0.68	-0.41	-0.96	-0.55	1.39	-1.51	-1.11	-0.99	-0.85	-0.86	0.58	-0.72	1.88	-0.57	-0.43	3.02	1.95
東京海上	-1.26	-1.23	-0.93	1.77	-1.01	0.00	1.48	-1.32	0.69	0.05	-2.11	-1.55	0.29	0.43	2.70	-0.41	1.25	-1.78	1.30	3.40	-0.22
川崎重	-1.99	-0.34	-1.69	0.00	0.34	-3.44	4.27	-2.05	-0.70	0.70	-0.70	-0.70	1.41	3.14	0.68	2.35	0.98	-0.97	0.66	3.26	0.63
アルプス電	-1.09	0.00	-2.93	2.14	0.74	-1.71	0.62	-0.87	1.50	0.37	-3.68	-0.38	-0.89	0.52	2.56	0.88	0.25	-0.37	0.99	0.61	-0.85
大日印	-2.29	-0.11	-3.23	0.35	0.69	-0.23	0.80	0.68	1.80	-0.44	-2.67	-0.91	0.12	0.81	1.48	-1.46	-0.46	-0.34	1.61	1.70	0.56
クレセゾン	1.15	-4.63	-1.71	3.38	3.52	-1.38	-0.16	-1.98	3.78	0.00	0.00	-1.78	0.99	1.96	3.20	-0.93	0.31	0.00	3.74	0.83	0.45
ＯＫＩ	0.00	-2.86	-1.47	1.49	1.47	-1.45	-1.47	0.00	1.49	0.00	-2.94	1.52	0.00	1.49	1.47	-1.45	1.47	-1.45	2.94	5.71	0.00
クボタ	-3.83	3.41	-3.58	-1.14	0.14	-0.14	-1.15	-0.58	0.59	0.58	-1.60	-1.47	-0.90	2.87	2.35	-1.58	0.29	-0.73	0.73	0.73	2.31
北越紀州	-4.35	-2.60	-0.89	0.00	1.35	2.65	1.51	-1.06	1.50	-0.63	1.28	-2.73	0.43	3.01	1.67	0.00	0.41	-1.02	1.24	-1.02	1.24
荏原製	-1.81	-0.69	-2.56	0.48	2.61	3.01	2.25	1.10	1.30	0.00	-0.21	-1.72	-0.66	1.32	1.52	-1.07	0.65	2.58	-0.63	0.00	-0.42
住友大阪	0.00	-2.86	-1.96	-1.00	3.03	2.45	0.00	0.00	0.00	5.74	-0.90	-3.20	2.36	0.46	2.75	0.00	0.45	0.00	0.00	-1.78	1.81
丸紅	-2.32	-1.83	-0.93	0.94	-0.37	-0.56	0.56	-1.50	2.28	0.37	-3.14	-0.57	-1.15	0.78	2.12	0.38	-0.56	-1.13	0.76	0.76	0.19
三菱電	-2.07	-1.66	-0.90	1.82	-1.45	0.57	0.34	0.11	1.57	-1.33	-1.12	-0.91	1.37	1.13	2.12	-0.98	2.32	-2.37	0.00	2.76	0.00
大日住薬	-0.41	0.14	-1.09	0.82	-0.14	2.05	1.34	-1.19	0.93	0.53	-1.97	-0.94	0.54	-0.13	1.89	-0.40	-0.27	-1.73	0.54	1.21	1.73
ＣＳＫ	3.90	-1.37	-0.35	1.74	-1.02	-0.69	0.35	0.00	3.11	-1.01	-1.02	0.00	1.71	-1.01	5.78	0.00	1.29	-3.49	0.99	4.56	0.93
大和ハウス	-0.72	-0.82	0.41	0.83	0.72	0.81	1.51	2.29	0.58	-0.77	-1.56	-1.58	0.40	-0.70	0.91	-0.90	0.20	-0.91	0.41	2.22	0.00
東邦鉛	-2.70	-1.39	-0.28	2.82	1.10	1.08	0.27	-1.60	2.17	0.53	-1.32	-1.61	-1.09	0.55	3.01	0.53	1.59	0.00	0.26	1.30	0.51
クラレ	-1.74	-1.35	-1.03	0.69	0.77	1.19	0.25	-1.51	1.45	-2.44	-0.34	0.17	-0.09	1.12	0.68	-2.88	0.61	-0.17	-0.26	0.70	1.73
アドバンテス	-1.46	-0.67	-2.17	0.83	-0.69	0.48	-0.28	-1.31	0.84	0.14	-2.22	0.21	-0.57	1.00	2.32	-0.83	2.22	-1.97	0.55	1.45	-0.07
ホンダ	-2.40	-0.82	-0.33	0.33	-1.32	-0.74	0.91	-2.48	0.69	2.01	-1.24	-0.88	-1.02	1.07	0.75	0.47	1.21	0.67	0.66	1.81	-0.32
